"무인교통단속카메라관리번호",시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치년도,관리기관명,관리기관전화번호,데이터기준일자
F4865,대전광역시,동구,5,10,금산로,1,,대전광역시 동구 대별동 4-3,36.2822777,127.4641666,대전광역시 동구 금산로(대별동4-3) 오투그란데(아) 앞,1,60,,,,2008,대전지방경찰청,042-609-2852,2020-08-31
F4867,대전광역시,서구,5,10,동서대로,1,,대전광역시 서구 내동 152-1,36.3343055,127.3681944,대전광역시 서구 동서대로954 도솔네거리,2,60,,,,2009,대전지방경찰청,042-609-2852,2020-08-31
F4868,대전광역시,서구,5,10,대덕대로,1,,대전광역시 서구 괴정동 산14-7,36.3370555,127.3731111,대전광역시 서구 대덕대로(괴정동 산14-7) 괴정육교,1,50,,,,2009,대전지방경찰청,042-609-2852,2020-08-31
F4870,대전광역시,대덕구,5,10,도시고속도로,1,,대전광역시 대덕구 신대동 293-2,36.3995555,127.4144166,대전광역시 대덕구(신대동293-2) 갑천도시고속도로 (→신탄진),1,80,,,,2009,대전지방경찰청,042-609-2852,2020-08-31
F4871,대전광역시,대덕구,5,10,도시고속도로,1,,대전광역시 대덕구 신대동 452-6,36.3861944,127.4125555,대전광역시 대덕구(신대동452-6) 갑천도시고속도로 (→원촌동),1,80,,,,2009,대전지방경찰청,042-609-2852,2020-08-31
F4872,대전광역시,대덕구,5,10,대전로,1,,대전광역시 대덕구 읍내동 244-30,36.3762222,127.4207555,대전광역시 대덕구 대전로(읍내동244-30) 회덕주민센터 앞 삼거리,2,50,,,,2009,대전지방경찰청,042-609-2852,2020-08-31
F4873,대전광역시,대덕구,5,10,동서대로,1,,대전광역시 대덕구 송촌동 292-10,36.3555833,127.4445277,대전광역시 대덕구 동서대로(송촌동292-10) 산림조합 앞 네거리,2,60,,,,2009,대전지방경찰청,042-609-2852,2020-08-31
F4874,대전광역시,대덕구,5,10,대전로,1,,대전광역시 대덕구 대화동 14-8,36.3663888,127.4193055,대전광역시 대덕구 대전로(대화동14-8) 대화동성당 앞,1,50,,,,2009,대전지방경찰청,042-609-2852,2020-08-31
F4875,대전광역시,유성구,5,10,노은로,1,,대전광역시 유성구 하기동 583,36.3875833,127.3220555,대전광역시 유성구 노은로(하기동 583) 송림네거리,2,60,,,,2009,대전지방경찰청,042-609-2852,2020-08-31
F4876,대전광역시,유성구,5,10,유성대로,1,,대전광역시 유성구 용계동 402-26,36.3241388,127.3125555,대전광역시 유성구 유성대로(용계동402-26) 밀머리네거리,2,60,,,,2009,대전지방경찰청,042-609-2852,2020-08-31
F4877,대전광역시,유성구,5,10,대덕대로,1,,대전광역시 유성구 대덕대로 756-3,36.3980277,127.3739166,대전광역시 유성구 대덕대로 756-3 ㈜ 덕인 앞,1,50,,,,2009,대전지방경찰청,042-609-2852,2020-08-31
F4878,대전광역시,유성구,5,10,백운로,1,,대전광역시 유성구 세동 산 64-11,36.2954722,127.2699444,대전광역시 유성구 백운로(세동 산64-11) 중세동마을 앞 (→계룡),1,80,,,,2009,대전지방경찰청,042-609-2852,2020-08-31
F4879,대전광역시,유성구,5,10,노은로,1,,대전광역시 유성구 하기동 244-4,36.3905833,127.3333055,대전광역시 유성구 노은로(하기동244-4) 송림마을6단지 앞,1,60,,,,2009,대전지방경찰청,042-609-2852,2020-08-31
F4880,대전광역시,서구,5,10,청사로,1,,대전광역시 서구 월평동 301,36.3597222,127.3713888,대전광역시 서구 청사로70(월평동301) 누리(아) 상가 앞,1,50,,,,2009,대전지방경찰청,042-609-2852,2020-08-31
F4881,대전광역시,유성구,5,10,계백로,1,,대전광역시 유성구 관저동 978-70,36.2907555,127.3200833,대전광역시 유성구 계백로(관저동978-70) 서대전IC 앞,1,70,,,,2009,대전지방경찰청,042-609-2852,2020-08-31
F5694,대전광역시,중구,5,10,동서대로,1,,대전광역시 중구 중촌동 396-14,36.3365555,127.4158888,대전광역시 중구 동서대로(중촌동396-14) 중촌네거리,2,60,,,,2009,대전지방경찰청,042-609-2852,2020-08-31
F5695,대전광역시,중구,5,10,계백로,1,,대전광역시 중구 문화동 311-3,36.3204444,127.4057555,대전광역시 중구 계백로1686번길 16 서대전역네거리,2,60,,,,2009,대전지방경찰청,042-609-2852,2020-08-31
F5696,대전광역시,중구,5,10,대둔산로,1,,대전광역시 중구 산성동 144-9,36.3099166,127.3882222,대전광역시 중구 대둔산로460 머티네거리,2,50,,,,2009,대전지방경찰청,042-609-2852,2020-08-31
F5697,대전광역시,유성구,5,10,도안동로,1,,대전광역시 유성구 원신흥동 149-5,36.3396111,127.3486388,대전광역시 유성구 도안동로(원신흥동 149-5) 원신흥삼거리,2,50,,,,2009,대전지방경찰청,042-609-2852,2020-08-31
F5698,대전광역시,동구,5,10,대전로,1,,대전광역시 동구 중동 77-17,36.3310833,127.4325555,대전광역시 동구 대전로799-1 대전역네거리,2,50,,,,2009,대전지방경찰청,042-609-2852,2020-08-31
F5699,대전광역시,서구,5,10,도안동로,1,,대전광역시 서구 도안동 1364,36.3207555,127.3477777,대전광역시 서구 도안동로177 수목토(아) 앞 삼거리,2,50,,,,2009,대전지방경찰청,042-609-2852,2020-08-31
F5700,대전광역시,동구,5,10,옥천로,1,,대전광역시 동구 비룡동 558,36.3317832,127.4761489,대전광역시 동구 옥천로 421 원미면옥 앞 삼거리,2,50,,,,2009,대전지방경찰청,042-609-2852,2020-08-31
F5701,대전광역시,서구,5,10,도안중로,1,,대전광역시 서구 도안동1563,36.3115277,127.3467777,대전광역시 서구 도안중로(도안동1563) 용소네거리,2,50,,,2,2009,대전지방경찰청,042-609-2852,2020-08-31
F5702,대전광역시,댜덕구,5,10,한밭대로,1,,대전광역시 대덕구 중리동 126-8,36.3591388,127.4323611,대전광역시 대덕구 한밭대로(중리동126-8) 중리네거리,2,50,,,,2009,대전지방경찰청,042-609-2852,2020-08-31
F5703,대전광역시,대덕구,5,10,신탄진로,1,,대전광역시 대덕구 신대동 491-21,36.3954166,127.4221111,대전광역시 대덕구 신탄진로(신대동491-21) 연축주공(아) 앞 삼거리,2,60,,,,2009,대전지방경찰청,042-609-2852,2020-08-31
F5704,대전광역시,서구,5,10,한밭대로,1,,대전광역시 서구 월평동 1529,36.3585001,127.3605277,대전광역시 서구 한밭대로(월평동1529) 갑천대교네거리,2,60,,,,2009,대전지방경찰청,042-609-2852,2020-08-31
F5705,대전광역시,유성구,5,10,한밭대로,1,,대전광역시 유성구 장대동 339,36.3641388,127.3381388,대전광역시 유성구 한밭대로(장대동339) 궁동네거리,2,60,,,,2009,대전지방경찰청,042-609-2852,2020-08-31
F5706,대전광역시,서구,5,10,대덕대로,1,,대전광역시 서구 둔산동 1535,36.3487777,127.3769444,대전광역시 서구 대덕대로(둔산동1535) 큰마을네거리,2,50,,,,2009,대전지방경찰청,042-609-2852,2020-08-31
F5707,대전광역시,서구,5,10,동서대로,1,,대전광역시 서구 도안동 1512,36.3320555,127.3410833,대전광역시 서구 동서대로(도안동1512) 하나은행 도안지점 앞 네거리,2,60,,,,2010,대전지방경찰청,042-609-2852,2020-08-31
F5708,대전광역시,유성구,5,10,한밭대로,1,,대전광역시 유성구 노은동 552-1,36.3667501,127.3128611,대전광역시 유성구 한밭대로(노은동 552-1) 수정초교네거리,2,60,,,,2010,대전지방경찰청,042-609-2852,2020-08-31
F6305,대전광역시,중구,5,10,대종로,1,,대전광역시 중구 옥계동 17-12,36.3026388,127.4511666,대전광역시 중구 대종로111번길 4 호동삼거리,2,50,,,,2010,대전지방경찰청,042-609-2852,2020-08-31
F6306,대전광역시,중구,5,10,대종로,1,,대전광역시 중구 석교동 12-2,36.3093055,127.4426944,대전광역시 중구 대종로226 돌다리네거리,2,50,,,,2010,대전지방경찰청,042-609-2852,2020-08-31
F6307,대전광역시,서구,5,10,계백로,1,,대전광역시 서구 정림동 293-4,36.3076831,127.3643429,대전광역시 서구 계백로1271 정림삼거리,2,60,,,,2010,대전지방경찰청,042-609-2852,2020-08-31
F6308,대전광역시,서구,5,10,도안동로,1,,대전광역시 서구 도안동 1472,36.3128888,127.3500833,대전광역시 서구 도안동로(도안동1472) 용소삼거리,2,50,,,,2010,대전지방경찰청,042-609-2852,2020-08-31
F6309,대전광역시,유성구,5,10,유성대로,1,,대전광역시 유성구 구암동 629-5,36.3488071,127.3266141,대전광역시 유성구 유성대로(구암동629-5) 구.유성중 앞 삼거리,2,60,,,,2010,대전지방경찰청,042-609-2852,2020-08-31
F6310,대전광역시,서구,5,10,한밭대로,1,,대전광역시 서구 둔산동 1382,36.3576666,127.3905555,대전광역시 서구 한밭대로(둔산동1382) 모정네거리,2,50,,,,2010,대전지방경찰청,042-609-2852,2020-08-31
F6311,대전광역시,서구,5,10,계룡로,1,,대전광역시 서구 월평동 1172,36.3534444,127.3582501,대전광역시 서구 계룡로(월평동1172) 월평삼거리,2,60,,,,2010,대전지방경찰청,042-609-2852,2020-08-31
F6312,대전광역시,유성구,5,10,유성대로,1,,대전광역시 유성구 장동 236-7,36.4014166,127.3626666,대전광역시 유성구 유성대로1307 장재울삼거리,2,60,,,,2010,대전지방경찰청,042-609-2852,2020-08-31
