버스전용차로단속기점,위치,X좌표,Y좌표
동서로네거리,대전 중구 계룡로 820,127.4069043,36.32658145
큰마을네거리,대전 서구 계룡로 387,127.3713392,36.35181538
유성네거리,대전 유성구 봉명동 1017-2,127.346158,36.35199599
버드내네거리,대전 중구 계백로1578,127.3954231,36.31765573
버드내네거리,대전 중구 태평로 15,127.3913443,36.31802262
유천네거리,대전 중구 계백로1581,127.3955632,36.31826028
도마네거리,대전 서구 계백로1460,127.35369,36.29653779
가수원네거리,대전 서구 벌곡로1384번길 131,127.3579776,36.30591587
가수원네거리,대전 서구 계백로 1095,127.3458082,36.3044531
향우네거리,대전 서구 도산로 137,127.3775576,36.32076371
가장네거리,대전 서구 도산로 318,127.3880125,36.33396684
향우네거리,대전 서구 도산로 176,127.35369,36.29653779
용전네거리,대전 동구 동서대로 1680,127.4364833,36.34874184
중촌네거리,대전 중구 동서대로 1680,127.4139345,36.30093925
갑천대교,대전 유성구 대학로 161,127.3512679,36.36055858
충대정문오거리,대전 유성구 한밭대로 502,127.3541717,36.35840228
만년네거리,대전 서구 대덕대로 370,127.3799847,36.36593794
대덕대교,대전 서구 만년남로 8,127.3783368,36.36717312
중리네거리,대전 대덕구 계족산로5번길 25,127.4315445,36.36303037
대전지방국세청,대전 대덕구 계족로663번길 23,127.4278273,36.37002439
대전IC앞네거리,대전 대덕구 동서대로 1761번길 1,127.4424784,36.35328516
만년교,대전 유성구 도안동로 331,127.3483719,36.33497446
가수원네거리,대전 유성구 도안동로 331,127.3483719,36.33497446
만년교,대전 서구 도안동로 123,127.3458646,36.31639502
가수원네거리,대전 서구 도안동로 123,127.3458646,36.31639502
가수원네거리,대전 유성구 원신흥동 589,127.3482624,36.33876812
농수산오거리,대전 대덕구 오정동 726,127.4110904,36.35203544
홍도육교네거리,대전 동구 대전로 1014,127.419201,36.34608172
대전,대전 대덕구 상서동 385,127.4167144,36.42118849
세종,대전 대덕구 상서동 산70-9,127.4158487,36.42212156
