pressure,EC1
7.1,37
7,37.3
7.1,37.2
7.1,37.4
7,36.8
7.1,36.9
7,36.8
7,37.1
7.1,36.9
7,37.2
7.1,36.7
7.1,37.2
7.1,37.2
7.1,37.5
7.1,37.1
7.1,37.1
7.1,36.9
7.1,36.9
7.1,36.7
7.1,37.1
7.1,36.2
7,36.9
7.1,36.7
7.1,36.9
7.1,37.7
7.1,36.7
7.1,36.8
7.1,37.1
7.1,37.7
7.1,37.4
7.1,37.5
7.1,37.1
7.1,37.1
7.1,37.4
7.1,37.8
7.1,37.4
7.1,37.1
7,37.3
7.1,37.3
7.1,37.9
7.1,38
7.1,37.7
7.1,37.4
7.1,37.3
7.1,37.5
7.1,37.5
7.1,37.7
7.1,38
7.1,37.7
7.1,37.9
7.1,38.2
7.1,38.3
7.1,36.4
7.1,36.4
7.1,36.7
7.1,36.4
7.1,37.1
7.1,36.6
7.1,37
7.1,36.7
7.1,37.2
7.1,36.4
7.1,36.6
7.1,37.1
7,36.7
7.1,36.8
7.1,36.8
7.1,36.7
7.1,36.8
7,37.3
7.1,37.4
7.1,37.1
7.1,36.6
7.1,37
7.1,36.9
7.1,37
7.1,36.9
7.1,37.3
7.1,37.3
7.1,36.7
7.1,36.5
7.1,36.9
7.1,36.7
7.1,36.8
7.1,37.2
7.1,37
7.1,37.5
7.1,36.9
7.1,37
7.1,37.5
7.1,36.9
7.1,36.6
7.1,36.6
7,36.9
7,36.9
7.1,37
7.1,37.9
7.1,37.8
7.1,37.6
7.1,37.1
7.1,36.9
7.1,37.2
7.1,37.2
7.2,38
7.1,38.1
7.1,37.8
7.1,37.9
7.1,37.8
7.1,37.7
7.1,37.8
7.1,37.5
7.1,37.9
7.1,38.3
7.1,37.9
7.1,38.3
7,38.4
7.1,37.8
7.1,38
7.1,38.4
7.1,38.5
7.2,38.8
7.1,38.6
7.1,38.1
7.2,38.2
7.1,38.4
7.1,38.8
7.1,38.4
7.1,38.3
7.1,39
7.1,38.4
7.1,38.2
7.1,38.4
7.1,38.5
7.1,39.2
7.1,39.9
8.5,36.9
8.5,37.5
8.5,37.2
4.9,37.3
4.1,37.5
4.9,37
4.9,37.1
6.8,37.2
4,37.4
8.5,37.6
4.1,37.5
4,37.3
4.3,37
4.4,37.2
4.3,37.1
4,37.1
4,37.3
4,37.6
4,37.3
4,37.1
7.2,37.4
7.3,37.5
4,37.8
4,37.6
4,37.5
4,37.3
4,37.6
4,37.6
8.6,37.6
8.6,37.6
6.9,38.4
8.5,38
8.6,37.1
8.6,37.8
8.6,37.9
8.5,38.2
8.5,38
4,38.1
4,38
4,38.6
4,39.2
7.2,39.1
4,0
4,0
4,0
4,0
4.1,0
4,0
4,0
4,0
4,0
4.1,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,38.3
4,38.3
4,39.2
4,38.7
4,38.8
4,38.8
4,39.2
4,39
4,38.9
4,39
4,39.2
4,38.7
4,38.6
4,38.5
4,38.9
4,38.9
4,39
4,38.9
4,39.1
4,39.1
4,38.7
4,39.1
4,39
4,38.8
4,39.6
4,39.8
4,39.9
4,39.6
4,39.6
4,39.5
4,39.9
4,39.7
4,39.2
4,38.7
4,39.6
4,39.8
4,39.7
4,39.8
4,39.8
4,39.5
4,39.6
4,39.7
4,39.5
4,39.5
4,40.3
4,40.3
4,39.2
4,39.2
4,40
4,39.7
4,38.9
4,39.4
4,39.5
4,39.8
4,39.7
4,39.6
4,39.1
4,39.9
4,39.9
4,40.1
4,40.6
4,41.1
4,42
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4.1,37.8
4.1,37.8
4.1,38.4
4.1,37.5
4.1,37.5
4.1,38
4,38.4
4.1,37.7
4,38.6
4,38.6
4,38
4,38.1
4.1,38.3
4.1,38.7
4.1,38.7
4.1,38.7
4.1,38.7
4.1,37.9
4.1,38.2
4.1,38.2
4.1,38.2
4.1,38.2
4.1,38.5
4.1,38.6
4.1,38.2
4.1,38.4
4.1,38.1
4.1,37.9
4.1,38
4.1,38.2
