id,date,temperature,pressure,EC1,EC2
64406,2021-04-21 14:20,19.7,7.1,37,0
64405,2021-04-21 14:19,19.7,7,37.3,0
64404,2021-04-21 14:17,19.7,7.1,37.2,0
64403,2021-04-21 14:16,19.6,7.1,37.4,0
64402,2021-04-21 14:15,19.6,7,36.8,0
64401,2021-04-21 14:13,19.6,7.1,36.9,0
64400,2021-04-21 14:12,19.4,7,36.8,0
64399,2021-04-21 14:11,19.4,7,37.1,0
64398,2021-04-21 14:09,19.6,7.1,36.9,0
64397,2021-04-21 14:08,19.4,7,37.2,0
64396,2021-04-21 14:07,19.4,7.1,36.7,0
64395,2021-04-21 14:05,19.4,7.1,37.2,0
64394,2021-04-21 14:04,19.4,7.1,37.2,0
64393,2021-04-21 14:03,19.2,7.1,37.5,0
64392,2021-04-21 14:01,19.4,7.1,37.1,0
64391,2021-04-21 14:00,19,7.1,37.1,0
64390,2021-04-21 13:59,19.2,7.1,36.9,0
64389,2021-04-21 13:57,19,7.1,36.9,0
64388,2021-04-21 13:56,19,7.1,36.7,0
64387,2021-04-21 13:55,19,7.1,37.1,0
64386,2021-04-21 13:53,18.5,7.1,36.2,0
64385,2021-04-21 13:52,18.7,7,36.9,0
64384,2021-04-21 13:51,18.3,7.1,36.7,0
64383,2021-04-21 13:49,18.3,7.1,36.9,0
64382,2021-04-21 13:48,18.3,7.1,37.7,0
64381,2021-04-21 13:47,18,7.1,36.7,0
64380,2021-04-21 13:45,18,7.1,36.8,0
64379,2021-04-21 13:44,18,7.1,37.1,0
64378,2021-04-21 13:43,18,7.1,37.7,0
64377,2021-04-21 13:41,18,7.1,37.4,0
64376,2021-04-21 13:40,18,4.8,194.6,0
64364,2021-04-21 13:27,18.3,7.1,37.5,0
64363,2021-04-21 13:25,18.5,7.1,37.1,0
64362,2021-04-21 13:25,18.5,7.1,37.1,0
64361,2021-04-21 13:24,18.5,7.1,37.4,0
64360,2021-04-21 13:23,18.3,7.1,37.8,0
64359,2021-04-21 13:21,18,7.1,37.4,0
64358,2021-04-21 13:20,18,7.1,37.1,0
64357,2021-04-21 13:19,18,7,37.3,0
64356,2021-04-21 13:17,18,7.1,37.3,0
64355,2021-04-21 13:16,18,7.1,37.9,0
64354,2021-04-21 13:15,18,7.1,38,0
64353,2021-04-21 13:13,18,7.1,37.7,0
64352,2021-04-21 13:12,18,4,114.1,0
64292,2021-04-21 11:56,16.1,7.1,37.4,0
64291,2021-04-21 11:55,16.1,7.1,37.3,0
64290,2021-04-21 11:53,15.9,7.1,37.5,0
64289,2021-04-21 11:52,15.9,7.1,37.5,0
64288,2021-04-21 11:51,15.7,7.1,37.7,0
64287,2021-04-21 11:49,15.7,7.1,38,0
64286,2021-04-21 11:48,15.7,7.1,37.7,0
64285,2021-04-21 11:47,15.4,7.1,37.9,0
64284,2021-04-21 11:45,15.4,7.1,38.2,0
64283,2021-04-21 11:44,15.2,7.1,38.3,0
62154,2021-04-19 15:54,15.7,7.1,36.4,0
62153,2021-04-19 15:54,15.7,7.1,36.4,0
62152,2021-04-19 15:53,15.7,7.1,36.7,0
62151,2021-04-19 15:52,15.7,7.1,36.4,0
62150,2021-04-19 15:50,15.7,7.1,37.1,0
62149,2021-04-19 15:49,15.7,7.1,36.6,0
62148,2021-04-19 15:48,15.7,7.1,37,0
62147,2021-04-19 15:46,15.7,7.1,36.7,0
62146,2021-04-19 15:45,15.7,7.1,37.2,0
62145,2021-04-19 15:44,15.7,7.1,36.4,0
62144,2021-04-19 15:42,15.7,7.1,36.6,0
62143,2021-04-19 15:41,15.7,7.1,37.1,0
62142,2021-04-19 15:40,15.7,7,36.7,0
62141,2021-04-19 15:38,15.7,7.1,36.8,0
62140,2021-04-19 15:37,15.7,7.1,36.8,0
62139,2021-04-19 15:36,15.7,7.1,36.7,0
62138,2021-04-19 15:34,15.7,7.1,36.8,0
62137,2021-04-19 15:33,15.7,7,37.3,0
62136,2021-04-19 15:32,15.7,7.1,37.4,0
62135,2021-04-19 15:30,15.5,7.1,37.1,0
62134,2021-04-19 15:29,15.7,7.1,36.6,0
62133,2021-04-19 15:28,15.5,7.1,37,0
62132,2021-04-19 15:26,15.5,7.1,36.9,0
62131,2021-04-19 15:25,15.5,7.1,37,0
62130,2021-04-19 15:24,15.7,7.1,36.9,0
62129,2021-04-19 15:22,15.5,7.1,37.3,0
62128,2021-04-19 15:21,15.5,7.1,37.3,0
62127,2021-04-19 15:20,15.7,7.1,36.7,0
62126,2021-04-19 15:18,15.7,7.1,36.5,0
62125,2021-04-19 15:17,15.5,7.1,36.9,0
62124,2021-04-19 15:16,15.7,7.1,36.7,0
62123,2021-04-19 15:14,15.7,7.1,36.8,0
62122,2021-04-19 15:13,15.7,7.1,37.2,0
62121,2021-04-19 15:12,15.4,7.1,37,0
62120,2021-04-19 15:10,15.4,7.1,37.5,0
62119,2021-04-19 15:09,15.4,7.1,36.9,0
62118,2021-04-19 15:08,15.4,7.1,37,0
62117,2021-04-19 15:06,15.2,7.1,37.5,0
62116,2021-04-19 15:05,15.2,7.1,36.9,0
62115,2021-04-19 15:04,15.2,7.1,36.6,0
62114,2021-04-19 15:02,15.2,7.1,36.6,0
